100439;GERGELIM EM PASTA (KG);KG;
300086;GLICOSE;KG;
100063;GORDURA VEGETAL;KG;
100430;LOURO;KG;
100090;MAIONESE;KG;
500570;MAIONESE LIGHT;KG;
100777;MOLHO BARBECUE;KG;
100373;MOLHO DE ALHO;ML;
100385;MOLHO DE PIMENTA TABASCO;UN;
100480;MOLHO DE PIMENTA VERMELHA;LT;
500179;MOLHO DEMIGLACE PÓ;KG;
100924;MOLHO FUNGHI;KG;
100212;MOLHO INGLES;LT;
100105;MOLHO MADEIRA;KG;
100537;MOLHO PARA SALADA PRONTO;LT;
100095;MOLHO SHOYO;LT;
100297;MOSTARDA AMARELA;KG;
500327;MOSTARDA DIJON;KG;
100335;MOSTARDA EM GRÃOS;KG;
100429;NOZ MOSCADO;KG;
100701;OLEO COMPOSTO;LT;
122081;OLEO DE ALGODÃO;LT;
188482;OLEO DE COCO;LT;
188199;OLEO DE GERGELIM;LT;
100981;OLEO DE GIRASSOL;LT;
100048;OLEO DE SOJA;LT;
128092;OLEO DE SOJA 18 LT;LT;
100081;OREGANO;KG;
190105;PAPRICA DEFUMADA;KG;
100301;PAPRICA DOCE;KG;
100302;PAPRICA PICANTE;KG;
500513;PIMENTA BRANCA EM GRÃO;KG;
188143;PIMENTA CALABRESA;KG;
394451;PIMENTA EM PÓ;KG;
100309;PIMENTA (KG);KG;
500089;PIMENTA PRETA GRÃO;KG;
100923;PIMENTA ROSA;KG;
394428;PURE DE BATATAS;KG;
100339;RAIZ FORTE;KG;
100327;SACHET AZEITE DE OLIVA;UN;
100047;SACHET CATCHUP 8 GR;UN;
100045;SACHET MAIONESE 8 GR;UN;
100892;SACHET MOLHO PARA SALADA;UNID;
100118;SACHET MOLHO PIMENTA;UN;
100046;SACHET MOSTARDA 7 GR;UN;
188683;SACHET PIMENTA PO;UN;
100196;SACHET SAL;UN;
100475;SACHET VINAGRE 8ML;UN;
100093;SAL GROSSO;KG;
100084;SAL REFINADO;KG;
100076;SALVIA;KG;
100951;TEMPERO PARA SUSHI;LT;
100051;TOMATE SECO;KG;
100088;VINAGRE ALCOOL;LT;
100377;VINAGRE BALSAMICO;LT;
188796;VINAGRE DE MAÇA;LT;
500373;VINAGRE VINHO;LT;
200226;VINHO COZINHA BAG BOX BRANCO/TINTO;LT;
100994;ZIMBRO;KG;
188520;ABACAXI DESIDRATADO;KG;
100148;ACHOCOLATADO PO;KG;
611173;ACHOCOLATADO PO MAQUINA;KG;
100481;AÇUCAR CRISTAL;KG;
100399;AÇUCAR DE BAUNILHA;KG;
100478;ACUCAR DE CONFEITEIRO;KG;
188636;AÇUCAR DEMERARA;KG;
100234;AÇUCAR MASCAVO;KG;
100089;ACUCAR REFINADO;KG;
500573;ADOCANTE EM PO;KG;
100291;ADOCANTE LIQUIDO;LT;
100746;AMEIXA SECA PRETA;KG;
100707;AMENDOAS;KG;
100443;AMENDOIM;KG;
100094;AMIDO DE MILHO;KG;
100342;ARROZ AMARELO;KG;
100210;ARROZ ARBORIO;KG;
190284;ARROZ BASMATI;KG;
100062;ARROZ BRANCO;KG;
188784;ARROZ CATETO;KG;
100427;ARROZ INTEGRAL;KG;
100872;ARROZ ITALIANO;KG;
500596;ARROZ JAPONÊS;KG;
500630;ARROZ NEGRO;KG;
100944;ARROZ ORIENTAL;KG;
100606;ARROZ SELVAGEM;KG;
400181;ARROZ VERMELHO;KG;
100873;ARROZ 7 GRAOS;KG;
100921;AVEIA EM FLOCOS;KG;
500631;AVELA;KG;
100197;BANANA PASSA;KG;
101231;BARRA DE CEREAL;UN;
100186;BATATA PALHA;KG;
100603;BISCOITO DOCE;KG;
100050;CAFE A VÁCUO EM PO;KG;
100450;CAFE EM GRAO;KG;
101117;CAFE EXPRESSO LEGGERO;UN;
100891;CAFE EXTRATO LIQUIDO;LT;
101118;CAFE LUNGO LEGGERO;UN;
101116;CAFE RISTRETTO;UN;
100627;CAFE SOLUVEL;KG;
188646;CAMOMILA;KG;
100596;CANJICA;KG;
100201;CASTANHA DE CAJU;KG;
500451;CASTANHA DO PARA;KG;
188360;CASTANHA PICADA;KG;
400539;CEREAL MATINAL COM AÇUCAR;KG;
100002;CEREAL MATINAL SEM AÇUCAR;KG;
188607;CEVADINHA;KG;
400009;CHA DIVERSOS SABORES;UN;
188647;CHA VERDE;KG;
100294;CHANTILLY;LT;
101228;CHIA;KG;
188946;CHIPS DE BANANA;KG;
100449;CHOCOLATE GRANULADO;KG;
100324;COCO RALADO;KG;
100647;COUSCOUS;KG;
188686;CRAMBERRY;KG;
122060;CREME DE QUEIJO BISNAGA;UN;
100230;DAMASCO;KG;
100900;ERVA MATE;KG;
188617;FARELO DE AVEIA;KG;
188616;FARELO DE TRIGO;KG;
500637;FARINHA DE AMENDOAS;KG;
101113;FARINHA DE ARROZ;KG;
100254;FARINHA DE AVEIA;KG;
189968;FARINHA DE BANANA;KG;
100699;FARINHA DE LINHAÇA;KG;
100313;FARINHA DE MANDIOCA;KG;
349396;FARINHA DE MILHO;KG;
100415;FARINHA DE ROSCA;KG;
100087;FARINHA DE TRIGO;KG;
500566;FARINHA DE TRIGO INTEGRAL;KG;
188180;FARINHA LACTEA KG;KG;
188736;FARINHA PANKO;KG;
100437;FAROFA PRONTA;KG;
188388;FAVO DE MEL;KG;
100258;FEIJAO BRANCO;KG;
100680;FEIJAO CARIOCA;KG;
500640;FEIJAO FRADINHO;KG;
100433;FEIJAO PRETO;KG;
100875;FEIJAO VERMELHO;KG;
100601;FERMENTO BIOLOGICO;KG;
100602;FERMENTO QUIMICO;KG;
188521;FIGO DESIDRATADO;KG;
101000;FIOS DE OVOS;KG;
100314;FRUTAS CRISTALIZADAS;KG;
500128;GELATINA FOLHA;KG;
100039;GELATINA SEM SABOR;KG;
100432;GERGELIM;KG;
500088;GERGELIM NEGRO;KG;
100552;GRAO DE BICO;KG;
100323;LEITE DE COCO;LT;
100884;LEITE DE SOJA;LT;
122048;LEITE DE SOJA EM PÓ;KG;
100171;LEITE EM PO;KG;
100412;LENTILHA;KG;
100691;LINHAÇA;KG;
188142;MAÇA DESIDRATADA KG;KG;
100744;MANDIOCA PALITO;KG;
188518;MANGA DESIDRATADA;KG;
188526;MILHO CROCANTE;KG;
500683;MILHO DE PIPOCA;KG;
190336;MIX DE CASTANHA;KG;
128135;MIX INTEGRAL 100G;UN;
100003;***NÃO USAR*** CEREAL MATINAL COM AÇUCAR;KG;
100933;NESCAFE ALPINO;KG;
394452;NESCAFE CAPPUCCINO;KG;
100893;NESCAFE CAPPUCCINO LATTE;KG;
100501;NOZES;KG;
122082;OLEO DE MILHO;UND;
188924;PAINCO KG;KG;
100946;PIPOCA;KG;
100207;PIPOCA MICROONDAS;UN;
100555;PISTACHE;KG;
100589;POLENTA;KG;
100541;POLVILHO;KG;
100692;QUINOA;KG;
100014;SACHET AÇUCAR;UNID;
100703;SACHET AÇUCAR MASCAVO;UN;
188386;SACHET AÇUCAR ORGÂNICO;UN;
100015;SACHET ADOCANTE;UNID;
100436;SACHET CAFE EXPRESSO 10GR;UN;
100512;SACHET CAFE SOLÚVEL 13GR;UN;
188689;SACHET GRANOLA;UN;
188527;SEMENTE DE ABOBORA;KG;
188204;SEMENTE DE GIRASSOL;KG;
100553;SOJA EM GRÃOS;KG;
700971;SORGO;KG;
101111;TAPIOCA MASSA PRONTA;KG;
100382;TRIGO PARA KIBE;KG;
100231;UVA PASSA;KG;
100281;ABACAXI LATA;KG;
100098;ALCAPARRA;KG;
100871;ANCHOVAS CONSERVA;KG;
100282;ASPARGO CONSERVA;KG;
100040;ATUM EM CONSERVA;KG;
500066;AZEITONA FATIADA PRETA;KG;
500295;AZEITONA PRETA AZAPA;KG;
100097;AZEITONAS PRETAS;KG;
100108;AZEITONAS VERDES;KG;
101188;BERINGELA EM CONSERVA;KG;
100075;CEBOLINHA EM CONSERVA;KG;
100249;CHAMPIGNON;KG;
100318;CHAMPIGNON EM CONSERVA;KG;
100312;CHUCRUTE EM CONSERVA;KG;
100295;COGUMELO EM CONSERVA;KG;
100283;ERVILHA LATA;KG;
100621;FILE DE ANCHOVA;KG;
100953;JARDINEIRA KG;KG;
100285;MILHO VERDE LATA;KG;
100999;MINI MILHO CONSERVA;KG;
100229;OVO DE CODORNA CONSERVA;KG;
100250;PALMITO EM CONSERVA;KG;
100476;PALMITO PICADO;KG;
100180;PEPINO CONSERVA;KG;
100676;PIMENTA VERDE EM CONSERVA;KG;
500651;TOMATE PELADO;KG;
101202;AÇAI POTE;UN;
188196;ALFAJOR;UN;
500656;AMENDOIM JAPONÊS;KG;
100200;AMENDOIM 40 GR;UN;
500385;AROMA ARTIFICIAL;LT;
100945;BALA DE GOMA;UN;
100640;BARQUETE;UN;
100143;BISCOITO CHAMPAGNE;KG;
188768;BISCOITO DE ARROZ;KG;
122053;BISCOITO INTEGRAL;KG;
500142;BISCOITO MAIZENA;KG;
349390;BISCOITO MANTEIGA;UN;
600332;BISCOITO MARIA;KG;
188787;BISCOITO NESFIT;UN;
100008;BISCOITO RECHEADO NEGRESCO;KG;
100125;BISCOITO RECHEADO 150 GR;UN;
100529;BISCOITO WAFER 32 GR;UN;
100661;BOLINHO PETIT GATEAU;UN;
188479;BOLO NO POTE;UN;
188895;BOLO SEM GLUTEN;UN;
400397;BROA DE MILHO;KG;
122047;BROWNIE;UN;
400661;CASCA DE LARANJA CRISTALIZADA;KG;
188331;CASQUINHA DE SORVETE;UN;
100177;CASTANHA CAJU 50 GR;UN;
188715;CHEESECAKE CONGELADO;UN;
100413;CHICLETES MENTOS;UN;
122065;CHOCOLATE BIBS 40G;UN;
100936;CHOCOLATE CHOKITO 32GR;UN;
100706;CHOCOLATE CONFETE KG;KG;
100173;CHOCOLATE EM BARRA (KG);KG;
100646;CHOCOLATE EM GOTAS AO LEITE;KG;
100724;CHOCOLATE LACTA 34 GR;UN;
100725;CHOCOLATE LAKA 25 GR;UN;
122034;CHOCOLATE LANCY 30G;UN;
122024;CHOCOLATE LOLLO 28GR;UN;
100723;CHOCOLATE SHOT 25 GR;UN;
279813;CHOCOLATE SNICKERS;UN;
100568;CHOCOLATES DIVERSOS;UN;
100780;CHOCOTONE KG;KG;
188381;COBERTURA PARA SORVETE;KG;
188716;COOKIE CAIXA;UN;
400073;COOKIES 60G;UN;
100682;COXINHA DE FRANGO;KG;
122069;CREME DE AMENDOIM (KG);KG;
101212;CREME DE AVELA;KG;
100435;DOCE DE LEITE;KG;
101164;DONUTS CONGELADO;UN;
400584;DONUTS (KG);KG;
500358;FIGO CRISTALIZADO;KG;
400336;FOLHADO CONGELADO;KG;
500581;GELEIA DIET;KG;
100482;GOIABADA;KG;
500359;LARANJA CRISTALIZADA;KG;
500571;LEITE CONDENSADO DESNATADO;KG;
188396;MARSHMALLOW;KG;
400375;MASSA CUECA VIRADA;KG;
100523;MASSA FOLHADA;KG;
400362;MASSINHA COM FAROFA;UN;
100242;MEL ABELHA;KG;
100233;MELADO;KG;
110131;MERENGUE KG;KG;
400645;MINI CALZONE FRANGO;KG;
400338;MINI CARACOL CONGELADO;KG;
100716;MINI CHURROS CONGELADO;KG;
100715;MINI COXINHA CONGELADA KG;KG;
100939;MINI CROISSANT CONGELADO;KG;
100729;MINI DOCES (CAFE DA MANHA);UN;
400267;MINI PAO BAGUETE BRANCO KG;KG;
400265;MINI PAO BETERRABA;KG;
400278;MINI PAO DE CHOCOLATE CONGELADO;KG;
100728;MINI SALGADINHOS (CAFÉ DA MANHA);UN;
100638;MINI TORTINHAS;UN;
100754;MISTURA PARA BOLO;KG;
100592;MOUSSES DIVERSOS;KG;
101126;MUFFINS;UN;
100164;***NAO USAR***BATATA CHIPS;UN;
100662;***NAO USAR***CHICLETE TRIDENT;UN;
101132;***NAO USAR***CHOCOLATE KIT KAT 45GR;UN;
128131;***NAO USAR***CHOCOLATE M&M'S;UN;
100937;***NAO USAR***CHOCOLATE PRESTIGIO 33GR;UN;
122077;***NAO USAR***CHOCOLATE SNICKERS 52GR;UN;
100253;***NOA USAR***CHOCOLATE BOMBOM;UN;
100497;***noa usar***HOT POCKET;UN;
100927;OVO GEMA PASTEURIZADA;KG;
122057;PAÇOCA;KG;
100721;PAES;UNID;
188684;PALHA ITALIANA;UN;
100766;PANETONE;KG;
400363;PAO ARABE;KG;
400765;PAO AUSTRALIANO (UN);UN;
188737;PAO BAGUETE CONGELADO KG;KG;
400289;PAO CACHORRO QUENTE;UN;
400333;PAO DE CHIA;UN;
400241;PAO DE FORMA;UN;
400294;PAO DE FORMA S/GLUTEN CONGELADO;KG;
400252;PAO DE LINHO;UN;
100141;PAO DE QUEIJO CONGELADO;KG;
100402;PAO HAMBURGUER;UN;
188509;PAO HAMBURGUER CONGELADO;UN;
400503;PAO ITALIANO BOLA CONGELADO;KG;
500691;PAO MASSINHA CONGELADO KG;KG;
